Timestamp(ms),Intensity,Winning Status
1.66E+12,0.5,0.5
1.66E+12,0.5,0.5
1.66E+12,0.5,0.5
1.66E+12,0.5,0.5
1.66E+12,0.5,0.5
1.66E+12,0.5,0.5
1.66E+12,0.5,0.5
1.66E+12,0.5,0.5
1.66E+12,0.5,0.5
1.66E+12,0.5,0.5
1.66E+12,0.478438673,0.505890072
1.66E+12,0.478438673,0.498046815
1.66E+12,0.466673788,0.494125187
1.66E+12,0.466673788,0.490203558
1.66E+12,0.372554704,0.454908902
1.66E+12,0.294122135,0.337260048
1.66E+12,0.294122135,0.223532823
1.66E+12,0.301965392,0.211767937
1.66E+12,0.309808649,0.219611194
1.66E+12,0.309808649,0.239219337
1.66E+12,0.309808649,0.270592364
1.66E+12,0.309808649,0.28235725
1.66E+12,0.309808649,0.274513993
1.66E+12,0.298043764,0.266670736
1.66E+12,0.298043764,0.25490585
1.66E+12,0.298043764,0.25490585
1.66E+12,0.298043764,0.25490585
1.66E+12,0.301965392,0.258827479
1.66E+12,0.301965392,0.262749107
1.66E+12,0.30588702,0.266670736
1.66E+12,0.301965392,0.262749107
1.66E+12,0.301965392,0.266670736
1.66E+12,0.301965392,0.262749107
1.66E+12,0.301965392,0.262749107
1.66E+12,0.30588702,0.270592364
1.66E+12,0.30588702,0.274513993
1.66E+12,0.30588702,0.274513993
1.66E+12,0.301965392,0.274513993
1.66E+12,0.301965392,0.274513993
1.66E+12,0.301965392,0.274513993
1.66E+12,0.30588702,0.266670736
1.66E+12,0.30588702,0.266670736
1.66E+12,0.30588702,0.266670736
1.66E+12,0.30588702,0.266670736
1.66E+12,0.30588702,0.266670736
1.66E+12,0.301965392,0.266670736
1.66E+12,0.30588702,0.270592364
1.66E+12,0.30588702,0.266670736
1.66E+12,0.30588702,0.266670736
1.66E+12,0.30588702,0.266670736
1.66E+12,0.30588702,0.266670736
1.66E+12,0.309808649,0.266670736
1.66E+12,0.309808649,0.266670736
1.66E+12,0.368633076,0.262749107
1.66E+12,0.423535875,0.247062593
1.66E+12,0.454908902,0.239219337
1.66E+12,0.462752159,0.239219337
1.66E+12,0.490203558,0.235297708
1.66E+12,0.494125187,0.23137608
1.66E+12,0.498046815,0.227454451
1.66E+12,0.501968444,0.215689566
1.66E+12,0.505890072,0.207846309
1.66E+12,0.509811701,0.207846309
1.66E+12,0.513733329,0.207846309
1.66E+12,0.513733329,0.223532823
1.66E+12,0.513733329,0.223532823
1.66E+12,0.513733329,0.223532823
1.66E+12,0.513733329,0.215689566
1.66E+12,0.513733329,0.215689566
1.66E+12,0.513733329,0.219611194
1.66E+12,0.513733329,0.223532823
1.66E+12,0.513733329,0.239219337
1.66E+12,0.513733329,0.25490585
1.66E+12,0.513733329,0.262749107
1.66E+12,0.513733329,0.262749107
1.66E+12,0.513733329,0.266670736
1.66E+12,0.513733329,0.262749107
1.66E+12,0.513733329,0.266670736
1.66E+12,0.513733329,0.294122135
1.66E+12,0.513733329,0.294122135
1.66E+12,0.513733329,0.290200507
1.66E+12,0.513733329,0.298043764
1.66E+12,0.513733329,0.349024934
1.66E+12,0.513733329,0.368633076
1.66E+12,0.513733329,0.368633076
1.66E+12,0.513733329,0.364711447
1.66E+12,0.513733329,0.364711447
1.66E+12,0.517654958,0.364711447
1.66E+12,0.521576586,0.364711447
1.66E+12,0.470595416,0.388241218
1.66E+12,0.443144017,0.423535875
1.66E+12,0.443144017,0.411770989
1.66E+12,0.443144017,0.407849361
1.66E+12,0.411770989,0.407849361
1.66E+12,0.329416791,0.403927732
1.66E+12,0.329416791,0.400006104
1.66E+12,0.329416791,0.396084475
1.66E+12,0.33333842,0.392162847
1.66E+12,0.360789819,0.388241218
1.66E+12,0.372554704,0.388241218
1.66E+12,0.388241218,0.38431959
1.66E+12,0.392162847,0.372554704
1.66E+12,0.400006104,0.372554704
1.66E+12,0.407849361,0.372554704
1.66E+12,0.407849361,0.372554704
1.66E+12,0.407849361,0.372554704
1.66E+12,0.407849361,0.372554704
1.66E+12,0.407849361,0.372554704
1.66E+12,0.407849361,0.368633076
1.66E+12,0.407849361,0.364711447
1.66E+12,0.407849361,0.360789819
1.66E+12,0.490203558,0.356868191
1.66E+12,0.494125187,0.352946562
1.66E+12,0.509811701,0.352946562
1.66E+12,0.521576586,0.345103305
1.66E+12,0.556871242,0.341181677
1.66E+12,0.576479385,0.341181677
1.66E+12,0.662755211,0.337260048
1.66E+12,0.662755211,0.341181677
1.66E+12,0.662755211,0.341181677
1.66E+12,0.63922544,0.341181677
1.66E+12,0.600009156,0.341181677
1.66E+12,0.596087527,0.341181677
1.66E+12,0.596087527,0.337260048
1.66E+12,0.568636128,0.337260048
1.66E+12,0.568636128,0.337260048
1.66E+12,0.568636128,0.341181677
1.66E+12,0.568636128,0.341181677
1.66E+12,0.568636128,0.341181677
1.66E+12,0.568636128,0.337260048
1.66E+12,0.568636128,0.337260048
1.66E+12,0.564714499,0.337260048
1.66E+12,0.564714499,0.341181677
1.66E+12,0.564714499,0.341181677
1.66E+12,0.564714499,0.341181677
1.66E+12,0.580401013,0.337260048
1.66E+12,0.607852412,0.321573534
1.66E+12,0.607852412,0.301965392
1.66E+12,0.607852412,0.301965392
