Timestamp,Score,Lives,Chaos,Level,Enemies,Bullets,AvgBtnFreq,GoalDist,StartDist,TimeElapsed,AtTower
1656602873551,12,3,19.6,0,0,0,3.0,529.0935645044268,327.0290506973348,6180,0
1656602873653,12,3,19.85,0,0,0,2.1,529.667820430881,329.5147948120084,6282,0
1656602873765,12,3,20.15,0,0,0,1.9,529.5129837879332,328.87687665751145,6394,0
1656602873876,12,3,20.45,0,0,0,1.9,529.5129837879332,328.87687665751145,6505,0
1656602873978,12,3,20.75,0,0,0,1.9,529.5129837879332,328.87687665751145,6607,0
1656602874093,12,3,21.05,0,0,0,1.7,528.5158464984754,329.82571155081285,6722,0
1656602874198,12,3,21.35,0,0,0,1.8,518.5450800075149,339.3302226445502,6827,0
1656602874309,12,3,21.65,0,0,0,2.2,509.5723697376066,347.9080338250326,6938,0
1656602874414,12,3,21.9,0,0,0,2.9,499.9399963995679,358.6474592130829,7043,0
1656602874532,12,3,22.2,0,0,0,4.1,489.2156988486776,373.7860350521405,7161,0
1656602874643,14,3,22.5,0,0,0,4.8,478.8527957525152,389.07582808496346,7272,0
1656602874748,14,3,22.8,0,0,0,5.7,468.8123291894103,398.1670503695654,7377,0
1656602874857,14,3,23.1,0,0,0,6.0,459.42572849155937,402.31331074176506,7486,0
1656602874960,14,3,23.4,0,0,0,6.0,457.5248627123995,400.9600977653512,7589,0
1656602875067,14,3,23.7,0,0,0,6.0,457.5248627123995,400.9600977653512,7696,0
1656602875180,14,3,24.0,0,1,0,5.8,457.5248627123995,400.9600977653512,7809,0
1656602875290,14,3,24.3,0,1,0,5.8,451.558412611259,406.7247226319049,7919,0
1656602875403,14,3,24.65,0,1,0,5.5,441.61634933503086,416.3472108709268,8032,0
1656602875518,14,3,25.0,0,1,0,4.8,440.6222872256917,417.31043600657773,8147,0
1656602875635,14,3,25.35,0,1,0,3.6,440.6222872256917,417.31043600657773,8264,0
1656602875748,14,3,27.65,0,1,1,2.5,440.6222872256917,417.31043600657773,8377,0
1656602875854,14,3,27.9,0,1,0,1.7,440.6222872256917,417.31043600657773,8483,0
1656602875963,14,3,30.2,0,1,0,1.8,440.6222872256917,417.31043600657773,8592,0
1656602876067,24,3,30.5,0,0,0,2.1,440.6222872256917,417.31043600657773,8696,0
1656602876185,24,3,32.8,0,1,1,2.7,440.6222872256917,417.31043600657773,8814,0
1656602876286,24,3,33.05,0,1,1,2.7,440.6222872256917,417.31043600657773,8915,0
1656602876390,24,3,33.35,0,1,1,2.1,440.6222872256917,417.31043600657773,9019,0
1656602876501,24,3,33.65,0,1,1,1.8,440.6222872256917,417.31043600657773,9130,0
1656602876606,24,3,33.95,0,1,1,1.8,440.6222872256917,417.31043600657773,9235,0
1656602876715,24,3,34.25,0,1,1,2.1,438.6342439892262,419.23740291152455,9344,0
1656602876829,24,3,34.55,0,1,0,2.6,427.7019990600932,429.84764742871397,9458,0
1656602876939,24,3,34.85,0,1,0,2.8,415.7799898985039,441.44422071197175,9568,0
1656602877041,24,3,35.1,0,1,0,2.5,408.06494581132546,446.52099614687774,9670,0
1656602877159,26,3,35.4,0,1,0,2.2,406.1095911204265,445.0404475999906,9788,0
1656602877276,26,3,35.7,0,1,0,2.1,405.44543405987446,442.84760358389656,9905,0
1656602877398,26,3,36.0,0,1,0,2.5,405.5440789852565,443.2268042436061,10027,0
1656602877498,26,3,36.25,0,1,0,2.5,405.35663310225976,442.477118052448,10127,0
1656602877618,26,3,36.55,0,1,0,2.5,405.31592616130933,442.2951503238533,10247,0
1656602877736,26,3,36.85,0,1,0,2.5,405.31592616130933,442.2951503238533,10365,0
1656602877843,27,3,37.15,0,1,0,2.2,405.04444200605934,440.59618700120416,10472,0
1656602877957,28,3,37.45,0,1,0,1.6,405.06048930993006,438.7185886191739,10586,0
1656602878059,28,3,37.75,0,0,0,1.0,405.2776825831889,437.7510708153665,10688,0
1656602878169,28,3,37.95,0,0,0,0.9,405.31592616130933,437.64026322997296,10798,0
1656602878272,28,3,38.15,0,0,0,1.2,403.31749280188683,439.6282520493878,10901,0
1656602878383,28,3,38.45,0,0,0,1.3,392.3263947276553,450.56409089051914,11012,0
1656602878499,28,3,38.8,0,0,0,1.6,383.3340579703296,459.51387356640276,11128,0
1656602878602,31,3,39.1,0,1,0,2.8,373.04825425137693,470.5879301469599,11231,0
1656602878719,31,3,39.45,0,1,0,3.6,361.03462437832746,482.6199332808375,11348,0
