Timestamp,Score,Lives,Chaos,Level,Enemies,Bullets,AvgBtnFreq,GoalDist,StartDist,TimeElapsed,AtTower
1656361640892,0,3,0.2,0,0,0,0.5,842.4345671920163,0.0,105,0
1656361641006,0,3,0.55,0,0,0,0.5,842.4345671920163,0.0,219,0
1656361641118,0,3,0.9,0,0,0,0.5,842.4345671920163,0.0,331,0
1656361641221,0,3,1.2,0,0,0,0.5,842.4345671920163,0.0,434,0
1656361641337,0,3,1.55,0,0,0,0.5,842.4345671920163,0.0,550,0
1656361641450,0,3,1.9,0,0,0,1.0,837.4491029310379,5.0,663,0
1656361641567,0,3,2.25,0,0,0,1.7,829.472724084403,13.0,780,0
1656361641667,0,3,2.55,0,0,0,2.3,822.4937689733582,20.0,880,0
1656361641776,0,3,2.9,0,0,0,3.0,811.5275719283973,31.0,989,0
1656361641890,0,3,3.25,0,0,0,3.7,800.5623023850175,42.0,1103,0
1656361641991,0,3,3.55,0,0,0,3.2,795.5784059412372,47.0,1204,0
1656361642116,0,3,3.9,0,0,0,3.4,794.58165093337,48.0,1329,0
1656361642227,0,3,4.25,0,0,0,4.8,789.7138722347481,53.36665625650534,1440,0
1656361642346,0,3,4.6,0,0,0,6.1,778.1343071732539,66.73080248281148,1559,0
1656361642463,0,3,4.95,0,0,0,6.6,777.4831187877973,65.96969000988257,1676,0
1656361642574,0,3,5.3,0,0,0,6.1,777.4831187877973,65.96969000988257,1787,0
1656361642693,0,3,5.65,0,0,0,5.4,777.4831187877973,65.96969000988257,1906,0
1656361642802,0,3,6.0,0,0,0,5.3,777.1904528492356,67.35725647619564,2015,0
1656361642905,0,3,6.3,0,0,0,5.8,771.7940139700489,74.84650960465692,2118,0
1656361643018,0,3,6.65,0,0,0,6.2,761.4788243936924,87.23531395025755,2231,0
1656361643122,0,3,6.95,0,0,0,6.2,757.7189452560889,88.60022573334676,2335,0
1656361643238,0,3,7.3,0,0,0,6.0,758.0560665280636,86.4002314811714,2451,0
1656361643351,0,3,7.65,0,0,0,5.0,755.0602624956501,89.28605714219886,2564,0
1656361643466,0,3,8.0,0,0,0,4.4,747.0716163795811,97.01546268507924,2679,0
1656361643575,1,3,8.35,0,0,0,5.2,734.6128231932792,111.31936040060596,2788,0
1656361643682,1,3,8.65,0,0,0,6.4,725.3040741647602,122.77621919573839,2895,0
1656361643791,1,3,9.0,0,0,0,7.6,714.2023522784001,134.48048185517482,3004,0
1656361643895,1,3,9.3,0,0,0,7.1,710.4055179965877,136.01470508735446,3108,0
1656361643998,3,3,9.6,0,0,0,5.9,710.8621526006291,133.1953452640144,3211,0
1656361644109,3,3,9.95,0,0,0,5.4,703.1386776447446,140.071410359145,3322,0
1656361644213,3,3,10.25,0,0,0,5.4,700.143556708194,143.0279692927226,3426,0
1656361644317,3,3,10.55,0,0,0,5.4,700.143556708194,143.0279692927226,3530,0
1656361644417,3,3,10.85,0,0,0,5.0,700.143556708194,143.0279692927226,3630,0
1656361644526,3,3,11.2,0,0,0,5.2,696.6900315061212,147.73286702694156,3739,0
1656361644626,4,3,11.5,0,0,0,5.1,689.4178703805118,156.20819440733575,3839,0
1656361644728,4,3,11.8,0,0,0,4.9,681.2936224565735,164.97575579460155,3941,0
1656361644828,5,3,12.1,0,0,0,3.7,676.5389863119493,168.12197952677099,4041,0
1656361644937,5,3,12.45,0,0,0,3.7,676.9579012021353,166.37307474468335,4150,0
1656361645041,5,3,12.75,0,0,0,3.8,677.1823978811027,165.74679484080528,4254,0
1656361645156,5,3,13.1,0,0,0,3.9,667.200119904066,175.64737401965334,4369,0
1656361645266,6,3,13.45,0,0,0,5.3,655.641670426766,188.2817038376273,4479,0
1656361645385,6,3,13.8,0,0,0,6.7,647.3407139984322,197.7321420508057,4598,0
1656361645495,6,3,14.15,0,0,0,7.7,637.4150923848603,207.09901013766338,4708,0
1656361645601,6,3,14.45,0,0,0,6.8,634.7093823160328,208.78697277368627,4814,0
1656361645713,6,3,14.8,0,0,0,5.6,635.2605764566222,207.39334608419819,4926,0
1656361645827,6,3,15.15,0,0,0,4.6,635.2605764566222,207.39334608419819,5040,0
1656361645928,6,3,15.45,0,0,0,4.6,635.2605764566222,207.39334608419819,5141,0
1656361646033,6,3,15.75,0,0,0,5.0,632.2665577112236,210.37347741576173,5246,0
1656361646146,6,3,16.1,0,0,0,5.6,622.2869113198509,220.31114361284585,5359,0
1656361646258,7,3,16.45,0,0,0,6.3,609.6433383544842,233.78836583542815,5471,0
1656361646358,8,3,16.75,0,0,0,6.1,603.4011932371363,240.69275020241054,5571,0
1656361646461,9,3,17.05,0,0,0,5.9,591.3383126434478,252.85766747322495,5674,0
1656361646578,9,3,17.4,0,0,0,5.5,579.4971958517142,264.0473442396268,5791,0
