Timestamp,Score,Lives,Chaos,Level,Enemies,Bullets,AvgBtnFreq,GoalDist,StartDist,TimeElapsed,AtTower
1656355853032,0,3,0.1,0,0,0,0.375,842.4345671920163,0.0,104,0
1656355853132,0,3,0.4,0,0,0,0.7777777777777778,842.4345671920163,0.0,204,0
1656355853247,0,3,0.75,0,0,0,0.7,842.4345671920163,0.0,319,0
1656355853356,0,3,1.1,0,0,0,0.7,842.4345671920163,0.0,428,0
1656355853461,0,3,1.4,0,0,0,1.0,840.4403607633323,2.0,533,0
1656355853571,0,3,1.75,0,0,0,1.7,830.469746589242,12.0,643,0
1656355853690,0,3,2.1,0,0,0,1.7,825.4847060969695,17.0,762,0
1656355853804,0,3,2.45,0,0,0,2.0,823.4907406886855,19.0,876,0
1656355853919,0,3,2.8,0,0,0,2.7,813.5213580478389,29.0,991,0
1656355854019,0,3,3.1,0,0,0,3.3,802.555917055005,40.0,1091,0
1656355854119,0,3,3.4,0,0,0,3.8,794.3456426518621,48.093658625644196,1191,0
1656355854231,0,3,3.75,0,0,0,4.8,787.5887251605371,55.78530272392541,1303,0
1656355854342,0,3,4.05,0,0,0,4.8,785.6570498633612,57.48912940721924,1414,0
1656355854458,0,3,4.4,0,0,0,4.8,785.9974554666193,56.568542494923804,1530,0
1656355854568,0,3,4.75,0,0,0,4.5,785.9974554666193,56.568542494923804,1640,0
1656355854671,0,3,5.05,0,0,0,4.6,785.5297575521886,57.97413216254297,1743,0
1656355854771,0,3,5.35,0,0,0,5.7,774.9322551036315,70.9365914038728,1843,0
1656355854875,0,3,5.65,0,0,0,5.4,771.0382610480493,74.0,1947,0
1656355854983,0,3,6.0,0,0,0,4.7,771.0382610480493,74.0,2055,0
1656355855085,0,3,6.3,0,0,0,4.1,771.0382610480493,74.0,2157,0
1656355855188,0,3,6.6,0,0,0,3.4,771.0382610480493,74.0,2260,0
1656355855294,0,3,6.95,0,0,0,2.7,764.0477733754611,80.65358020571684,2366,0
1656355855394,0,3,7.25,0,0,0,2.8,758.0560665280636,86.4002314811714,2466,0
1656355855497,0,3,7.55,0,0,0,2.8,758.0560665280636,86.4002314811714,2569,0
1656355855603,0,3,7.85,0,0,0,2.8,758.0560665280636,86.4002314811714,2675,0
1656355855710,0,3,8.2,0,0,0,2.6,753.0630783672773,91.21403400793103,2782,0
1656355855810,0,3,8.5,0,0,0,2.1,745.0744929200033,98.95453501482385,2882,0
1656355855924,1,3,8.85,0,0,0,3.0,734.931969640728,109.38464243210746,2996,0
1656355856024,1,3,9.15,0,0,0,4.2,725.5404881879439,120.50311199301036,3096,0
1656355856125,1,3,9.45,0,0,0,5.4,713.1795005466715,135.76818478568535,3197,0
1656355856240,1,3,9.8,0,0,0,5.9,706.2556194466703,141.35416513141732,3312,0
1656355856340,3,3,10.1,0,0,0,5.2,706.5550226273958,138.7515765676196,3412,0
1656355856459,3,3,10.45,0,0,0,5.1,707.1322365724815,136.13228860193308,3531,0
1656355856576,3,3,10.8,0,0,0,5.1,707.1322365724815,136.13228860193308,3648,0
1656355856688,3,3,11.15,0,0,0,5.3,706.1338400048534,137.11673858431726,3760,0
