Timestamp(ms)	Intensity	Winning Status
1653425508015	0.5	0.5
1653425508130	0.5	0.5
1653425508244	0.5	0.5
1653425508344	0.5	0.5
1653425508460	0.5	0.5
1653425508576	0.5	0.5
1653425508691	0.5	0.5
1653425508808	0.5	0.5
1653425508922	0.5	0.5
1653425509037	0.5	0.5
1653425509153	0.5	0.5
1653425509254	0.5	0.5
1653425509368	0.5	0.5
1653425509485	0.5	0.5
1653425509600	0.5	0.5
