#Balls,#Bullets,Score,AvgBtnFreq,AvgBallDist,RatioBalls,AvgBallDir,Intensity Match,Winning Match
1,0,0,0,0,1,0,0,0.5
1,0,0,0,0,1,0,0,0.5
1,0,0,0,0,1,0,0,0.5
1,0,0,0,0,1,0,0,0.5
1,0,0,0,0,1,0,0,0.5
1,0,0,0,0,1,0,0,0.5
1,0,0,0,0,1,0,0,0.5
1,1,0,1,0,1,0,0,0.5
1,2,0,1,0,1,0,0,0.5
1,2,0,1,0,1,0,0,0.5
1,2,0,1,0,1,0,0,0.451185644
1,0,0,1,-3,0,1.36532,0,0.402569658
1,0,0,0,-7,0,1.36232,0,0.376781518
1,0,0,0,-15,0,1.35632,0,0.376781518
1,0,0,1,-23,0,1.35032,0,0.366344188
1,1,0,2,-33,0,1.34332,0,0.366573077
1,1,0,2,-41,0,1.33732,0,0.469878231
1,0,0,2,-49,0,-0.23382,0,0.48156682
1,0,0,2,-48,0,-0.22982,0,0.483092746
1,0,0,1,-47,0,-0.22582,0,0.483092746
1,1,0,0,-45,0,-0.21882,0,0.475081637
1,1,0,1,-44,0,-0.21182,0,0.472655416
1,2,0,2,-42,0,-0.20482,0,0.468810083
1,2,0,2,-41,0,-0.19782,0,0.468810083
1,2,0,2,-39,0,-0.19082,0,0.468016602
1,2,0,2,-38,0,-0.18382,0,0.468016602
1,2,0,2,-37,0,-0.17682,0,0.468016602
1,3,0,2,-36,0,-0.16982,0,0.467329936
1,3,0,2,-34,0,-0.16282,0,0.467329936
1,2,0,2,-31,0,-1.29397,0,0.469924009
1,2,0,2,-25,0,-1.28897,0,0.49630726
1,2,0,1,-17,0,-1.28297,0,0.49630726
1,1,0,0,-9,0,-1.27697,0,0.526367992
1,1,0,1,-2,0,-1.27097,0,0.554536576
1,2,0,2,7,1,-1.26397,0,0.577486496
1,1,0,2,16,1,-1.25697,0,0.613162633
1,1,0,2,23,1,-1.25097,0,0.627262185
1,1,0,2,32,1,-1.24397,0,0.628330332
1,1,0,1,40,1,-1.23797,0,0.623966185
1,1,0,0,48,1,-1.23097,0,0.622425001
1,0,0,0,53,1,-0.58344,0.002487259,0.620883816
1,1,0,0,55,1,-0.57944,0.002487259,0.620883816
1,1,0,0,58,1,-0.57344,0.003982665,0.618030335
1,1,0,0,62,1,-0.56644,0.026673177,0.6134373
