Timestamp(ms)	#Balls	#Bullets	Score	AvgBtnFreq	AvgBallDist	RatioBalls	AvgBallDir
1656615287793	1	1	1	1	0	1.0	0.00000
1656615287896	1	2	1	2	0	1.0	0.00000
1656615287998	1	3	1	3	0	1.0	0.00000
1656615288099	1	3	1	3	0	1.0	0.00000
1656615288203	1	3	1	4	0	1.0	0.00000
1656615288308	1	1	1	3	3	1.0	-0.92152
1656615288420	1	1	1	2	6	1.0	-0.91852
1656615288523	1	1	1	2	11	1.0	-0.91252
1656615288623	1	2	1	3	16	1.0	-0.90652
1656615288727	1	2	1	2	22	1.0	-0.90052
1656615288827	1	2	1	2	27	1.0	-0.89452
1656615288932	1	2	1	2	33	1.0	-0.88852
1656615289036	1	3	1	2	38	1.0	-0.88252
1656615289141	1	2	1	1	42	1.0	-0.97115
1656615289248	1	2	1	1	46	1.0	-0.96715
1656615289349	1	2	1	1	51	1.0	-0.96115
1656615289449	1	2	1	2	57	1.0	-0.95515
1656615289551	1	2	1	1	63	1.0	-0.94915
1656615289651	1	2	1	2	69	1.0	-0.94315
1656615289761	1	3	1	3	74	1.0	-0.93715
1656615289869	1	3	1	3	80	1.0	-0.93115
1656615289971	1	3	1	3	85	1.0	-0.92515
1656615290079	1	3	1	3	91	1.0	-0.91915
1656615290184	1	4	1	3	96	1.0	-0.91315
1656615290294	1	4	1	3	102	1.0	-0.90715
1656615290401	1	5	1	4	107	1.0	-0.90115
1656615290502	1	5	1	4	113	1.0	-0.89515
1656615290604	1	5	1	4	118	1.0	-0.88915
1656615290720	2	4	1	4	59	0.5	0.10344
1656615290830	2	3	1	3	59	0.5	0.05511
1656615290938	2	3	1	3	59	0.5	0.05511
1656615291058	2	3	1	2	58	0.5	0.05511
1656615291166	2	3	1	3	58	0.5	0.05511
1656615291273	2	2	1	3	58	0.5	0.05511
1656615291375	2	2	1	4	57	0.5	0.05511
1656615291479	2	2	1	3	57	0.5	0.05511
1656615291581	2	2	1	3	57	0.5	0.05511
1656615291682	2	3	1	4	56	0.5	0.05511
1656615291785	2	3	1	3	56	0.5	0.05511
1656615291886	2	3	1	2	56	0.5	0.05511
1656615291988	2	3	1	3	55	0.5	0.05511
1656615292092	2	3	1	4	55	0.5	0.25976
1656615292208	2	3	1	2	54	0.5	0.25976
1656615292985	1	0	2	2	0	1.0	0.00000
1656615293087	1	0	2	2	0	1.0	0.00000
1656615293190	1	1	2	2	0	1.0	0.00000
1656615293291	1	1	2	2	0	1.0	0.00000
1656615293393	1	1	2	2	0	1.0	0.00000
1656615293497	1	1	2	3	0	1.0	0.00000
1656615293616	1	0	2	2	2	1.0	-0.75819
1656615293726	1	0	2	1	5	1.0	-0.75419
1656615293831	1	2	2	2	10	1.0	-0.74819
1656615293933	1	2	2	3	14	1.0	-0.74219
1656615294040	1	2	2	2	19	1.0	-0.73619
1656615294147	1	2	2	3	23	1.0	-0.73019
1656615294256	1	3	2	4	27	1.0	-0.72419
1656615294358	1	3	2	3	32	1.0	-0.71819
1656615294463	1	3	2	3	36	1.0	-0.71219
1656615294565	1	3	2	3	40	1.0	-0.70619
1656615294669	1	4	2	3	45	1.0	-0.70019
1656615294780	1	3	2	2	49	1.0	-1.14118
1656615294907	1	4	2	3	54	1.0	-1.13718
1656615295009	1	4	2	3	60	1.0	-1.13118
1656615295116	1	4	2	4	64	1.0	0.49909
